City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
635,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
640,Porto Santo,PT,74.3,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
642,Mulege,MX,81.48,overcast clouds,26.8833,-111.9833,Casa Granada
646,Barbacoas,CO,80.83,moderate rain,1.6715,-78.1398,edificio justin
651,Guadalupe Y Calvo,MX,70.34,broken clouds,26.1,-106.9667,Hotel Pizarro
652,Benghazi,LY,71.22,broken clouds,32.1167,20.0667,Tibesti Hotel
655,Kantunilkin,MX,84.04,overcast clouds,21.0917,-87.45,Posada Paraiso
656,Isabela,PH,78.94,overcast clouds,6.7085,121.9711,Isawad Resort
660,Sechura,PE,77.22,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
662,Miraflores,MX,75.96,overcast clouds,19.2167,-98.8083,Hotel Mansión
663,Phan Thiet,VN,77.07,light rain,10.9333,108.1,Hotel Saigon-PT
668,Ondjiva,AO,72.32,scattered clouds,-17.0667,15.7333,COMBUESA
670,Langsa,ID,73.35,moderate rain,4.4683,97.9683,OYO 2964 Hotel Ridho
675,Harper,LR,78.06,light rain,4.375,-7.7169,Screensaver
680,Isla Vista,US,79.68,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
683,Kloulklubed,PW,81.48,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
687,Gorontalo,ID,74.98,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
690,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
695,Pahrump,US,73.26,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
696,Sand Springs,US,75.78,overcast clouds,36.1398,-96.1089,Magnuson Hotel Sand Springs-Tulsa West
698,Villa Bruzual,VE,89.17,overcast clouds,9.3328,-69.1208,hotel italia
702,Myitkyina,MM,73.24,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
703,San Rafael Del Sur,NI,86.97,broken clouds,11.8485,-86.4384,Hospedaje El Chino
705,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Casona Del Muelle
712,Tomatlan,MX,89.73,clear sky,19.9333,-105.25,El Salvial
714,Bodden Town,KY,87.8,few clouds,19.2833,-81.25,Will T Place
716,Pedasi,PA,79.92,overcast clouds,7.5333,-80.0333,Selina Pedasi
718,Grand-Santi,GF,86.27,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
721,Aloleng,PH,80.15,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
729,Ruwi,OM,83.89,clear sky,23.5996,58.5507,Al Falaj Hotel
732,Edea,CM,74.14,overcast clouds,3.8,10.1333,Micotel Hotel
733,Garowe,SO,77.05,broken clouds,8.4054,48.4845,Curubo Hotel
737,Ternate,ID,79.93,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
738,Mana,GF,83.16,overcast clouds,5.6592,-53.7767,LE SAMANA
741,Gizo,SB,82.24,broken clouds,-8.103,156.8419,Imagination Island
743,Rosarito,MX,77.58,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
