City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Hamilton,US,39.1834,-84.5333,74.75,54,1,1.01,clear sky
307,Zhigalovo,RU,54.8097,105.1578,28.36,93,11,2.33,few clouds
308,Cangucu,BR,-31.395,-52.6756,63.61,69,66,9.86,broken clouds
309,Quatre Cocos,MU,-20.2078,57.7625,75.09,80,36,10.92,light rain
310,Tasiilaq,GL,65.6145,-37.6368,32.16,56,85,10.49,overcast clouds
311,Turkistan,KZ,43.0,68.0,58.42,49,7,9.89,clear sky
312,Balkanabat,TM,39.5108,54.3671,57.36,55,91,15.64,overcast clouds
313,Kingori,TZ,-3.2833,36.9833,66.74,69,66,6.33,broken clouds
314,Shenzhen,CN,22.5455,114.0683,79.21,90,78,2.95,broken clouds
315,San Patricio,US,28.017,-97.5169,89.69,50,32,5.75,scattered clouds
316,Mount Gambier,AU,-37.8333,140.7667,58.3,41,65,5.32,broken clouds
317,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,20.71,scattered clouds
318,Najran,SA,17.4924,44.1277,70.45,28,4,2.37,clear sky
319,La Primavera,CO,5.4906,-70.4092,82.29,77,99,3.62,moderate rain
320,Zyryanka,RU,65.75,150.85,-4.97,92,45,4.88,scattered clouds
321,Ko Samui,TH,9.5357,99.9357,82.29,74,98,1.41,overcast clouds
322,Port Lincoln,AU,-34.7333,135.8667,58.15,92,100,10.02,overcast clouds
323,Brae,GB,60.3964,-1.353,42.71,71,100,26.49,overcast clouds
324,Mogwase,ZA,-25.185,27.2665,66.85,37,55,6.96,broken clouds
325,Cavaillon,FR,43.8312,5.0359,67.19,72,90,10.36,overcast clouds
326,Pierre,US,44.3683,-100.351,39.85,85,90,1.01,overcast clouds
327,San Lorenzo,PY,-25.3333,-57.5333,83.34,28,20,4.61,few clouds
328,Saint-Pierre,RE,-21.3393,55.4781,73.04,76,20,4.61,few clouds
329,Jiangyou,CN,31.7667,104.7167,56.25,88,100,1.63,light rain
330,Port Blair,IN,11.6667,92.75,80.35,83,100,4.94,overcast clouds
331,Hami,CN,42.8,93.45,58.42,18,100,5.1,overcast clouds
332,Ponta Delgada,PT,37.7333,-25.6667,66.92,82,20,3.44,few clouds
333,Paducah,US,37.0834,-88.6001,77.59,49,1,4.61,clear sky
334,Yumen,CN,40.2833,97.2,40.64,27,77,8.9,broken clouds
335,Kyakhta,RU,50.3508,106.4494,29.89,68,0,3.04,clear sky
336,Talara,PE,-4.5772,-81.2719,75.96,60,0,12.66,clear sky
337,Camacha,PT,33.0833,-16.3333,71.53,83,20,12.66,few clouds
338,Toba,JP,34.4833,136.85,53.6,61,100,22.41,overcast clouds
339,Laguna,US,38.421,-121.4238,70.45,56,90,1.99,overcast clouds
340,Salinas,US,36.6777,-121.6555,72.57,51,90,10.36,overcast clouds
341,Kurilsk,RU,45.2333,147.8833,44.89,82,100,13.58,moderate rain
342,Adrar,MR,20.5022,-10.0711,81.12,16,2,11.36,clear sky
343,Margate,GB,51.3813,1.3862,58.3,87,100,1.99,heavy intensity rain
344,Gilgit,PK,35.9221,74.3087,62.01,39,25,0.96,scattered clouds
